A, B, C, D, E, F, G, H, I, J
0, 4, 1, 5, 1000000000000, 1000000000000, 1000000000000, 1000000000000, 1000000000000, 1000000000000
4, 0, 3, 1000000000000, 3, 1000000000000, 4, 1000000000000, 1000000000000, 1000000000000
1, 3, 0, 4, 3, 3, 1000000000000, 1000000000000, 1000000000000, 1000000000000
5, 1000000000000, 4, 0, 1000000000000, 2, 1000000000000, 1000000000000, 5, 1000000000000
1000000000000, 3, 3, 1000000000000, 0, 5, 2, 3, 1000000000000, 1000000000000
1000000000000, 1000000000000, 3, 2, 5, 0, 1000000000000, 5, 2, 1000000000000
1000000000000, 4, 1000000000000, 1000000000000, 2, 0, 1000000000000, 3, 1000000000000, 1
1000000000000, 1000000000000, 1000000000000, 1000000000000, 3, 5, 3, 0, 2, 4
1000000000000, 1000000000000, 1000000000000, 5, 1000000000000, 2, 1000000000000, 2, 0, 5
1000000000000, 1000000000000, 1000000000000, 1000000000000, 1000000000000, 1000000000000, 1, 4, 5, 0 
